"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)__MAX"
"44","0.8469170800850461","0.8469170800850461","0.8469170800850461","0.6644223954642098","0.6644223954642098","0.6644223954642098","0.47448618001417436","0.47448618001417436","0.47448618001417436"
"45","0.7381289865343728","0.7381289865343728","0.7381289865343728","0.6226080793763289","0.6226080793763289","0.6226080793763289","0.5099220411055989","0.5099220411055989","0.5099220411055989"
"46","0.6456413890857547","0.6456413890857547","0.6456413890857547","0.6995038979447201","0.6995038979447201","0.6995038979447201","0.5634301913536499","0.5634301913536499","0.5634301913536499"
"47","0.6931254429482637","0.6931254429482637","0.6931254429482637","0.5935506732813607","0.5935506732813607","0.5935506732813607","0.46243798724309004","0.46243798724309004","0.46243798724309004"
"48","0.6102055279943304","0.6102055279943304","0.6102055279943304","0.582211197732105","0.582211197732105","0.582211197732105","0.46243798724309004","0.46243798724309004","0.46243798724309004"
"49","0.7406094968107724","0.7406094968107724","0.7406094968107724","0.6353649893692418","0.6353649893692418","0.6353649893692418","0.49858256555634306","0.49858256555634306","0.49858256555634306"
"50","0.7051736357193481","0.7051736357193481","0.7051736357193481","0.5460666194188519","0.5460666194188519","0.5460666194188519","0.5807937632884479","0.5807937632884479","0.5807937632884479"
"51","0.9394046775336641","0.9394046775336641","0.9394046775336641","0.6856839121190645","0.6856839121190645","0.6856839121190645","0.48653437278525863","0.48653437278525863","0.48653437278525863"
"52","0.7165131112686038","0.7165131112686038","0.7165131112686038","0.5467753366406803","0.5467753366406803","0.5467753366406803","0.657689581856839","0.657689581856839","0.657689581856839"
"53","0.6817859673990078","0.6817859673990078","0.6817859673990078","0.6428065201984408","0.6428065201984408","0.6428065201984408","0.5453579021970233","0.5453579021970233","0.5453579021970233"
"54","0.7515946137491141","0.7515946137491141","0.7515946137491141","0.6364280652019845","0.6364280652019845","0.6364280652019845","0.4631467044649185","0.4631467044649185","0.4631467044649185"
"55","0.6523742026931254","0.6523742026931254","0.6523742026931254","0.6211906449326718","0.6211906449326718","0.6211906449326718","0.5219702338766833","0.5219702338766833","0.5219702338766833"
"56","0.7345854004252304","0.7345854004252304","0.7345854004252304","0.5644932671863927","0.5644932671863927","0.5644932671863927","0.5928419560595323","0.5928419560595323","0.5928419560595323"
"57","0.7728561304039688","0.7728561304039688","0.7728561304039688","0.7299787384833452","0.7299787384833452","0.7299787384833452","0.5099220411055989","0.5099220411055989","0.5099220411055989"
"58","0.7051736357193481","0.7051736357193481","0.7051736357193481","0.6644223954642098","0.6644223954642098","0.6644223954642098","0.5219702338766833","0.5219702338766833","0.5219702338766833"
"59","0.7406094968107724","0.7406094968107724","0.7406094968107724","0.6332388377037562","0.6332388377037562","0.6332388377037562","0.5400425230333097","0.5400425230333097","0.5400425230333097"
"60","0.8469170800850461","0.8469170800850461","0.8469170800850461","0.6424521615875266","0.6424521615875266","0.6424521615875266","0.5038979447200567","0.5038979447200567","0.5038979447200567"
"61","0.7519489723600284","0.7519489723600284","0.7519489723600284","0.6867469879518073","0.6867469879518073","0.6867469879518073","0.48653437278525863","0.48653437278525863","0.48653437278525863"
"62","0.8795180722891566","0.8795180722891566","0.8795180722891566","0.5885896527285613","0.5885896527285613","0.5885896527285613","0.5099220411055989","0.5099220411055989","0.5099220411055989"
"63","0.6275690999291283","0.6275690999291283","0.6275690999291283","0.6817859673990078","0.6817859673990078","0.6817859673990078","0.5513819985825655","0.5513819985825655","0.5513819985825655"
"64","0.6938341601700921","0.6938341601700921","0.6938341601700921","0.6130403968816442","0.6130403968816442","0.6130403968816442","0.4571226080793763","0.4571226080793763","0.4571226080793763"
"65","0.7051736357193481","0.7051736357193481","0.7051736357193481","0.6651311126860383","0.6651311126860383","0.6651311126860383","0.4330262225372077","0.4330262225372077","0.4330262225372077"
"66","0.8008504606661943","0.8008504606661943","0.8008504606661943","0.6686746987951806","0.6686746987951806","0.6686746987951806","0.48653437278525863","0.48653437278525863","0.48653437278525863"
"67","0.7526576895818567","0.7526576895818567","0.7526576895818567","0.7246633593196316","0.7246633593196316","0.7246633593196316","0.47448618001417436","0.47448618001417436","0.47448618001417436"
"68","0.7285613040396881","0.7285613040396881","0.7285613040396881","0.5747696669029058","0.5747696669029058","0.5747696669029058","0.5574060949681078","0.5574060949681078","0.5574060949681078"
"69","0.8401842664776755","0.8401842664776755","0.8401842664776755","0.6410347271438696","0.6410347271438696","0.6410347271438696","0.5393338058114813","0.5393338058114813","0.5393338058114813"
"70","0.7466335931963146","0.7466335931963146","0.7466335931963146","0.5836286321757619","0.5836286321757619","0.5836286321757619","0.4872430900070872","0.4872430900070872","0.4872430900070872"
"71","0.9241672572643514","0.9241672572643514","0.9241672572643514","0.582211197732105","0.582211197732105","0.582211197732105","0.445074415308292","0.445074415308292","0.445074415308292"
"72","0.6403260099220411","0.6403260099220411","0.6403260099220411","0.6470588235294118","0.6470588235294118","0.6470588235294118","0.5634301913536499","0.5634301913536499","0.5634301913536499"
"73","0.6282778171509568","0.6282778171509568","0.6282778171509568","0.5287030474840538","0.5287030474840538","0.5287030474840538","0.5219702338766833","0.5219702338766833","0.5219702338766833"
"74","0.9351523742026931","0.9351523742026931","0.9351523742026931","0.6739900779588943","0.6739900779588943","0.6739900779588943","0.5687455705173636","0.5687455705173636","0.5687455705173636"
"75","0.8068745570517364","0.8068745570517364","0.8068745570517364","0.7182849043231752","0.7182849043231752","0.7182849043231752","0.5460666194188519","0.5460666194188519","0.5460666194188519"
"76","0.6998582565556343","0.6998582565556343","0.6998582565556343","0.7083628632175762","0.7083628632175762","0.7083628632175762","0.5754783841247343","0.5754783841247343","0.5754783841247343"
"77","0.8632175761871014","0.8632175761871014","0.8632175761871014","0.6509567682494685","0.6509567682494685","0.6509567682494685","0.5393338058114813","0.5393338058114813","0.5393338058114813"
"78","0.7345854004252304","0.7345854004252304","0.7345854004252304","0.6984408221119774","0.6984408221119774","0.6984408221119774","0.5513819985825655","0.5513819985825655","0.5513819985825655"
"79","0.8720765414599575","0.8720765414599575","0.8720765414599575","0.5892983699503898","0.5892983699503898","0.5892983699503898","0.5099220411055989","0.5099220411055989","0.5099220411055989"
"80","0.8532955350815025","0.8532955350815025","0.8532955350815025","0.7101346562721473","0.7101346562721473","0.7101346562721473","0.5219702338766833","0.5219702338766833","0.5219702338766833"
"81","0.6456413890857547","0.6456413890857547","0.6456413890857547","0.6350106307583274","0.6350106307583274","0.6350106307583274","0.5634301913536499","0.5634301913536499","0.5634301913536499"
"82","0.8625088589652729","0.8625088589652729","0.8625088589652729","0.6048901488306166","0.6048901488306166","0.6048901488306166","0.47448618001417436","0.47448618001417436","0.47448618001417436"
"83","0.6991495393338057","0.6991495393338057","0.6991495393338057","0.5644932671863927","0.5644932671863927","0.5644932671863927","0.5219702338766833","0.5219702338766833","0.5219702338766833"
"84","0.8175053153791636","0.8175053153791636","0.8175053153791636","0.5407512402551382","0.5407512402551382","0.5407512402551382","0.5574060949681078","0.5574060949681078","0.5574060949681078"
"85","0.7147413182140326","0.7147413182140326","0.7147413182140326","0.6364280652019845","0.6364280652019845","0.6364280652019845","0.5099220411055989","0.5099220411055989","0.5099220411055989"
"86","0.7303330970942595","0.7303330970942595","0.7303330970942595","0.7572643515237419","0.7572643515237419","0.7572643515237419","0.5279943302622254","0.5279943302622254","0.5279943302622254"
"87","0.7813607370659107","0.7813607370659107","0.7813607370659107","0.642806520198441","0.642806520198441","0.642806520198441","0.49858256555634306","0.49858256555634306","0.49858256555634306"
"88","0.669029057406095","0.669029057406095","0.669029057406095","0.6491849751948973","0.6491849751948973","0.6491849751948973","0.48653437278525863","0.48653437278525863","0.48653437278525863"
"89","0.6583982990786676","0.6583982990786676","0.6583982990786676","0.5520907158043941","0.5520907158043941","0.5520907158043941","0.5574060949681078","0.5574060949681078","0.5574060949681078"
"90","0.7941176470588236","0.7941176470588236","0.7941176470588236","0.7012756909992912","0.7012756909992912","0.7012756909992912","0.5400425230333097","0.5400425230333097","0.5400425230333097"
"91","0.793408929836995","0.793408929836995","0.793408929836995","0.6169383416017009","0.6169383416017009","0.6169383416017009","0.5687455705173636","0.5687455705173636","0.5687455705173636"
"92","0.7866761162296243","0.7866761162296243","0.7866761162296243","0.6116229624379872","0.6116229624379872","0.6116229624379872","0.515946137491141","0.515946137491141","0.515946137491141"
"93","0.7508858965272857","0.7508858965272857","0.7508858965272857","0.6810772501771793","0.6810772501771793","0.6810772501771793","0.5694542877391922","0.5694542877391922","0.5694542877391922"
"94","0.7579730687455706","0.7579730687455706","0.7579730687455706","0.7111977321048901","0.7111977321048901","0.7111977321048901","0.5393338058114813","0.5393338058114813","0.5393338058114813"
"95","0.8114812189936216","0.8114812189936216","0.8114812189936216","0.6367824238128987","0.6367824238128987","0.6367824238128987","0.5687455705173636","0.5687455705173636","0.5687455705173636"
"96","0.6984408221119772","0.6984408221119772","0.6984408221119772","0.6169383416017009","0.6169383416017009","0.6169383416017009","0.5453579021970233","0.5453579021970233","0.5453579021970233"
"97","0.669029057406095","0.669029057406095","0.669029057406095","0.5694542877391922","0.5694542877391922","0.5694542877391922","0.48653437278525863","0.48653437278525863","0.48653437278525863"
"98","0.7639971651311127","0.7639971651311127","0.7639971651311127","0.7232459248759745","0.7232459248759745","0.7232459248759745","0.5099220411055989","0.5099220411055989","0.5099220411055989"
"99","0.7820694542877393","0.7820694542877393","0.7820694542877393","0.7388377037562013","0.7388377037562013","0.7388377037562013","0.5574060949681078","0.5574060949681078","0.5574060949681078"
"100","0.722537207654146","0.722537207654146","0.722537207654146","0.6559177888022678","0.6559177888022678","0.6559177888022678","0.445074415308292","0.445074415308292","0.445074415308292"
