"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)__MAX"
"75","0.4827586206896552","0.4827586206896552","0.4827586206896552","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.22222222222222224","0.22222222222222224","0.22222222222222224"
"76","0.56","0.56","0.56","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"77","0.5517241379310345","0.5517241379310345","0.5517241379310345","0.3","0.3","0.3","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"78","0.5806451612903226","0.5806451612903226","0.5806451612903226","0.5185185185185185","0.5185185185185185","0.5185185185185185","0.25","0.25","0.25"
"79","0.6451612903225806","0.6451612903225806","0.6451612903225806","0","0","0","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"80","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.1935483870967742","0.1935483870967742","0.1935483870967742"
"81","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.26666666666666666","0.26666666666666666","0.26666666666666666"
"82","0.7333333333333334","0.7333333333333334","0.7333333333333334","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.12121212121212122","0.12121212121212122","0.12121212121212122"
"83","0.5161290322580646","0.5161290322580646","0.5161290322580646","0.23076923076923078","0.23076923076923078","0.23076923076923078","0.1935483870967742","0.1935483870967742","0.1935483870967742"
"84","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.2580645161290323","0.2580645161290323","0.2580645161290323"
"85","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.25","0.25","0.25","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"86","0.45161290322580644","0.45161290322580644","0.45161290322580644","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.20000000000000004","0.20000000000000004","0.20000000000000004"
"87","0.6285714285714287","0.6285714285714287","0.6285714285714287","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.13793103448275862","0.13793103448275862","0.13793103448275862"
"88","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.2608695652173913","0.2608695652173913","0.2608695652173913","0.12903225806451615","0.12903225806451615","0.12903225806451615"
"89","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.23076923076923078","0.23076923076923078","0.23076923076923078","0.2580645161290323","0.2580645161290323","0.2580645161290323"
"90","0.7407407407407407","0.7407407407407407","0.7407407407407407","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"91","0.6666666666666667","0.6666666666666667","0.6666666666666667","0.37037037037037035","0.37037037037037035","0.37037037037037035","0.28571428571428575","0.28571428571428575","0.28571428571428575"
"92","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.18750000000000003","0.18750000000000003","0.18750000000000003"
"93","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.27586206896551724","0.27586206896551724","0.27586206896551724"
"94","0.6060606060606061","0.6060606060606061","0.6060606060606061","0.3448275862068966","0.3448275862068966","0.3448275862068966","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"95","0.7333333333333334","0.7333333333333334","0.7333333333333334","0.4347826086956522","0.4347826086956522","0.4347826086956522","0.28571428571428575","0.28571428571428575","0.28571428571428575"
"96","0.48648648648648646","0.48648648648648646","0.48648648648648646","0.37037037037037035","0.37037037037037035","0.37037037037037035","0.24242424242424243","0.24242424242424243","0.24242424242424243"
"97","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.27586206896551724","0.27586206896551724","0.27586206896551724","0.12903225806451615","0.12903225806451615","0.12903225806451615"
"98","0.625","0.625","0.625","0.5925925925925927","0.5925925925925927","0.5925925925925927","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"99","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.2580645161290323","0.2580645161290323","0.2580645161290323"
"100","0.5454545454545455","0.5454545454545455","0.5454545454545455","0.41379310344827586","0.41379310344827586","0.41379310344827586","0.0625","0.0625","0.0625"
