"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)__MAX"
"78","0.6261344537815127","0.6261344537815127","0.6261344537815127","0.5626470588235294","0.5626470588235294","0.5626470588235294","0.3159803921568627","0.3159803921568627","0.3159803921568627"
"79","0.7343334999903852","0.7343334999903852","0.7343334999903852","0.32942577030812326","0.32942577030812326","0.32942577030812326","0.2519852941176471","0.2519852941176471","0.2519852941176471"
"80","0.7601960784313726","0.7601960784313726","0.7601960784313726","0.5277351750416766","0.5277351750416766","0.5277351750416766","0.2653781512605042","0.2653781512605042","0.2653781512605042"
"81","0.4617647058823529","0.4617647058823529","0.4617647058823529","0.564201680672269","0.564201680672269","0.564201680672269","0.33649321266968324","0.33649321266968324","0.33649321266968324"
"82","0.7945098039215687","0.7945098039215687","0.7945098039215687","0.4983333333333333","0.4983333333333333","0.4983333333333333","0.19632352941176473","0.19632352941176473","0.19632352941176473"
"83","0.5660084033613445","0.5660084033613445","0.5660084033613445","0.31914781297134237","0.31914781297134237","0.31914781297134237","0.2653781512605042","0.2653781512605042","0.2653781512605042"
"84","0.8118627450980392","0.8118627450980392","0.8118627450980392","0.3338235294117647","0.3338235294117647","0.3338235294117647","0.3255042016806723","0.3255042016806723","0.3255042016806723"
"85","0.4365200013737797","0.4365200013737797","0.4365200013737797","0.3663973281620341","0.3663973281620341","0.3663973281620341","0.2519852941176471","0.2519852941176471","0.2519852941176471"
"86","0.5279971988795518","0.5279971988795518","0.5279971988795518","0.7223295985060691","0.7223295985060691","0.7223295985060691","0.27361990950226245","0.27361990950226245","0.27361990950226245"
"87","0.6590849673202615","0.6590849673202615","0.6590849673202615","0.49843891402714935","0.49843891402714935","0.49843891402714935","0.21715686274509804","0.21715686274509804","0.21715686274509804"
"88","0.4908204334365325","0.4908204334365325","0.4908204334365325","0.47222689075630253","0.47222689075630253","0.47222689075630253","0.20525210084033613","0.20525210084033613","0.20525210084033613"
"89","0.5648039215686274","0.5648039215686274","0.5648039215686274","0.32490196078431366","0.32490196078431366","0.32490196078431366","0.3255042016806723","0.3255042016806723","0.3255042016806723"
"90","0.8291176470588235","0.8291176470588235","0.8291176470588235","0.7080882352941176","0.7080882352941176","0.7080882352941176","0.29459893048128344","0.29459893048128344","0.29459893048128344"
"91","0.6972794117647059","0.6972794117647059","0.6972794117647059","0.45705882352941174","0.45705882352941174","0.45705882352941174","0.3459477124183007","0.3459477124183007","0.3459477124183007"
"92","0.632076124567474","0.632076124567474","0.632076124567474","0.3814285714285714","0.3814285714285714","0.3814285714285714","0.25823529411764706","0.25823529411764706","0.25823529411764706"
"93","0.5256487889273357","0.5256487889273357","0.5256487889273357","0.5155882352941177","0.5155882352941177","0.5155882352941177","0.349313725490196","0.349313725490196","0.349313725490196"
"94","0.6416176470588235","0.6416176470588235","0.6416176470588235","0.41212418300653597","0.41212418300653597","0.41212418300653597","0.3002941176470588","0.3002941176470588","0.3002941176470588"
"95","0.776606334841629","0.776606334841629","0.776606334841629","0.5817086834733893","0.5817086834733893","0.5817086834733893","0.3459477124183007","0.3459477124183007","0.3459477124183007"
"96","0.5297058823529411","0.5297058823529411","0.5297058823529411","0.45705882352941174","0.45705882352941174","0.45705882352941174","0.3076470588235294","0.3076470588235294","0.3076470588235294"
"97","0.4908204334365325","0.4908204334365325","0.4908204334365325","0.349313725490196","0.349313725490196","0.349313725490196","0.20525210084033613","0.20525210084033613","0.20525210084033613"
"98","0.6624509803921568","0.6624509803921568","0.6624509803921568","0.6802941176470588","0.6802941176470588","0.6802941176470588","0.2519852941176471","0.2519852941176471","0.2519852941176471"
"99","0.7457843137254903","0.7457843137254903","0.7457843137254903","0.610855614973262","0.610855614973262","0.610855614973262","0.3255042016806723","0.3255042016806723","0.3255042016806723"
"100","0.5859558823529412","0.5859558823529412","0.5859558823529412","0.47095588235294117","0.47095588235294117","0.47095588235294117","0.1427450980392157","0.1427450980392157","0.1427450980392157"
