"Step","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)__MAX"
"49","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3636363636363636","0.3636363636363636","0.3636363636363636","0","0","0"
"50","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"51","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"52","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"53","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"54","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"55","0.3636363636363636","0.3636363636363636","0.3636363636363636","0","0","0","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"56","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"57","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5","0.5","0.5"
"58","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"59","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"60","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.5","0.5","0.5","0.2","0.2","0.2"
"61","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"62","0.6","0.6","0.6","0.20000000000000004","0.20000000000000004","0.20000000000000004","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"63","0.20000000000000004","0.20000000000000004","0.20000000000000004","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.4000000000000001","0.4000000000000001","0.4000000000000001"
"64","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"65","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"66","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"67","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"68","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"69","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.4","0.4","0.4","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"70","0.6","0.6","0.6","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"71","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"72","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"73","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.4000000000000001","0.4000000000000001","0.4000000000000001","0","0","0"
"74","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.4","0.4","0.4"
"75","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.2","0.2","0.2"
"76","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"77","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"78","0.4","0.4","0.4","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.3636363636363636","0.3636363636363636","0.3636363636363636"
