"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)__MAX"
"50","688.9890747070312","688.9890747070312","688.9890747070312","654.1888427734375","654.1888427734375","654.1888427734375","1830.8970947265625","1830.8970947265625","1830.8970947265625"
"51","616.537109375","616.537109375","616.537109375","558.9456176757812","558.9456176757812","558.9456176757812","1624.4969482421875","1624.4969482421875","1624.4969482421875"
"52","644.7754516601562","644.7754516601562","644.7754516601562","674.2402954101562","674.2402954101562","674.2402954101562","2180.616943359375","2180.616943359375","2180.616943359375"
"53","579.1766967773438","579.1766967773438","579.1766967773438","752.2217407226562","752.2217407226562","752.2217407226562","2445.51025390625","2445.51025390625","2445.51025390625"
"54","607.91943359375","607.91943359375","607.91943359375","788.5840454101562","788.5840454101562","788.5840454101562","1705.41064453125","1705.41064453125","1705.41064453125"
"55","624.8529052734375","624.8529052734375","624.8529052734375","556.8690185546875","556.8690185546875","556.8690185546875","1568.8079833984375","1568.8079833984375","1568.8079833984375"
"56","649.945556640625","649.945556640625","649.945556640625","699.72900390625","699.72900390625","699.72900390625","2559.90380859375","2559.90380859375","2559.90380859375"
"57","673.5086059570312","673.5086059570312","673.5086059570312","643.3090209960938","643.3090209960938","643.3090209960938","1593.0465087890625","1593.0465087890625","1593.0465087890625"
"58","602.0623779296875","602.0623779296875","602.0623779296875","761.2777709960938","761.2777709960938","761.2777709960938","2067.80908203125","2067.80908203125","2067.80908203125"
"59","611.2901611328125","611.2901611328125","611.2901611328125","560.8045043945312","560.8045043945312","560.8045043945312","1673.0391845703125","1673.0391845703125","1673.0391845703125"
"60","636.967041015625","636.967041015625","636.967041015625","788.874755859375","788.874755859375","788.874755859375","1969.9022216796875","1969.9022216796875","1969.9022216796875"
"61","576.4734497070312","576.4734497070312","576.4734497070312","726.8848266601562","726.8848266601562","726.8848266601562","2059.05712890625","2059.05712890625","2059.05712890625"
"62","550.3744506835938","550.3744506835938","550.3744506835938","657.1646118164062","657.1646118164062","657.1646118164062","2108.73583984375","2108.73583984375","2108.73583984375"
"63","549.3489990234375","549.3489990234375","549.3489990234375","753.4788818359375","753.4788818359375","753.4788818359375","2042.22802734375","2042.22802734375","2042.22802734375"
"64","602.1567993164062","602.1567993164062","602.1567993164062","616.3187255859375","616.3187255859375","616.3187255859375","1612.5767822265625","1612.5767822265625","1612.5767822265625"
"65","612.0689086914062","612.0689086914062","612.0689086914062","952.9994506835938","952.9994506835938","952.9994506835938","2608.71337890625","2608.71337890625","2608.71337890625"
"66","596.75244140625","596.75244140625","596.75244140625","693.55859375","693.55859375","693.55859375","1568.1168212890625","1568.1168212890625","1568.1168212890625"
"67","604.0868530273438","604.0868530273438","604.0868530273438","559.5928344726562","559.5928344726562","559.5928344726562","1506.9512939453125","1506.9512939453125","1506.9512939453125"
"68","619.7413330078125","619.7413330078125","619.7413330078125","788.2066040039062","788.2066040039062","788.2066040039062","2497.62451171875","2497.62451171875","2497.62451171875"
"69","629.6878662109375","629.6878662109375","629.6878662109375","651.2255249023438","651.2255249023438","651.2255249023438","1985.7061767578125","1985.7061767578125","1985.7061767578125"
"70","609.0367431640625","609.0367431640625","609.0367431640625","598.4744873046875","598.4744873046875","598.4744873046875","2000.1212158203125","2000.1212158203125","2000.1212158203125"
"71","661.344970703125","661.344970703125","661.344970703125","670.6467895507812","670.6467895507812","670.6467895507812","1552.3046875","1552.3046875","1552.3046875"
"72","690.7147216796875","690.7147216796875","690.7147216796875","643.025390625","643.025390625","643.025390625","1690.14404296875","1690.14404296875","1690.14404296875"
"73","650.2214965820312","650.2214965820312","650.2214965820312","704.6106567382812","704.6106567382812","704.6106567382812","1674.962890625","1674.962890625","1674.962890625"
"74","578.5128173828125","578.5128173828125","578.5128173828125","775.3019409179688","775.3019409179688","775.3019409179688","1905.211181640625","1905.211181640625","1905.211181640625"
"75","600.8173828125","600.8173828125","600.8173828125","608.1015014648438","608.1015014648438","608.1015014648438","1620.0589599609375","1620.0589599609375","1620.0589599609375"
"76","620.9627685546875","620.9627685546875","620.9627685546875","712.9774780273438","712.9774780273438","712.9774780273438","1845.806884765625","1845.806884765625","1845.806884765625"
