"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)__MAX"
"35","0.8416666666666668","0.8416666666666668","0.8416666666666668","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.9333333333333333","0.9333333333333333","0.9333333333333333"
"36","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"37","0.8833333333333333","0.8833333333333333","0.8833333333333333","0.9749999999999999","0.9749999999999999","0.9749999999999999","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"38","0.9500000000000001","0.9500000000000001","0.9500000000000001","0.8416666666666667","0.8416666666666667","0.8416666666666667","0.9249999999999999","0.9249999999999999","0.9249999999999999"
"39","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.95","0.95","0.95","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"40","0.7916666666666666","0.7916666666666666","0.7916666666666666","0.8916666666666666","0.8916666666666666","0.8916666666666666","0.85","0.85","0.85"
"41","0.9416666666666667","0.9416666666666667","0.9416666666666667","0.9333333333333333","0.9333333333333333","0.9333333333333333","0.9416666666666667","0.9416666666666667","0.9416666666666667"
"42","0.85","0.85","0.85","0.9666666666666667","0.9666666666666667","0.9666666666666667","0.8583333333333334","0.8583333333333334","0.8583333333333334"
"43","0.925","0.925","0.925","0.8","0.8","0.8","1","1","1"
"44","1","1","1","0.7416666666666667","0.7416666666666667","0.7416666666666667","0.9666666666666667","0.9666666666666667","0.9666666666666667"
"45","0.9083333333333334","0.9083333333333334","0.9083333333333334","1","1","1","1","1","1"
"46","0.8083333333333333","0.8083333333333333","0.8083333333333333","0.8166666666666667","0.8166666666666667","0.8166666666666667","0.45","0.45","0.45"
"47","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.9500000000000001","0.9500000000000001","0.9500000000000001"
"48","1","1","1","0.9666666666666667","0.9666666666666667","0.9666666666666667","0.9666666666666667","0.9666666666666667","0.9666666666666667"
"49","1","1","1","0.825","0.825","0.825","0.875","0.875","0.875"
"50","0.8916666666666667","0.8916666666666667","0.8916666666666667","0.875","0.875","0.875","0.7916666666666666","0.7916666666666666","0.7916666666666666"
"51","0.8833333333333333","0.8833333333333333","0.8833333333333333","0.775","0.775","0.775","0.8166666666666667","0.8166666666666667","0.8166666666666667"
"52","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.9666666666666666","0.9666666666666666","0.9666666666666666","0.9666666666666667","0.9666666666666667","0.9666666666666667"
"53","0.9916666666666667","0.9916666666666667","0.9916666666666667","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"54","0.9916666666666667","0.9916666666666667","0.9916666666666667","0.7166666666666667","0.7166666666666667","0.7166666666666667","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"55","1","1","1","0.8916666666666667","0.8916666666666667","0.8916666666666667","0.7083333333333333","0.7083333333333333","0.7083333333333333"
"56","0.8416666666666667","0.8416666666666667","0.8416666666666667","0.9666666666666668","0.9666666666666668","0.9666666666666668","0.9583333333333334","0.9583333333333334","0.9583333333333334"
"57","0.825","0.825","0.825","0.6583333333333334","0.6583333333333334","0.6583333333333334","0.6833333333333333","0.6833333333333333","0.6833333333333333"
"58","0.9416666666666667","0.9416666666666667","0.9416666666666667","1","1","1","0.9","0.9","0.9"
"59","0.9916666666666666","0.9916666666666666","0.9916666666666666","0.7583333333333332","0.7583333333333332","0.7583333333333332","0.9333333333333332","0.9333333333333332","0.9333333333333332"
"60","0.875","0.875","0.875","0.8916666666666666","0.8916666666666666","0.8916666666666666","0.9083333333333333","0.9083333333333333","0.9083333333333333"
"61","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.8916666666666667","0.8916666666666667","0.8916666666666667","0.8416666666666666","0.8416666666666666","0.8416666666666666"
"62","0.9636363636363636","0.9636363636363636","0.9636363636363636","0.9454545454545453","0.9454545454545453","0.9454545454545453","0.7818181818181819","0.7818181818181819","0.7818181818181819"
"63","0.8636363636363636","0.8636363636363636","0.8636363636363636","0.8636363636363636","0.8636363636363636","0.8636363636363636","0.8272727272727273","0.8272727272727273","0.8272727272727273"
"64","0.9083333333333333","0.9083333333333333","0.9083333333333333","0.85","0.85","0.85","0.8416666666666667","0.8416666666666667","0.8416666666666667"
"65","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.9416666666666667","0.9416666666666667","0.9416666666666667","0.8166666666666667","0.8166666666666667","0.8166666666666667"
"66","0.95","0.95","0.95","0.8833333333333333","0.8833333333333333","0.8833333333333333","0.975","0.975","0.975"
"67","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.6916666666666667","0.6916666666666667","0.6916666666666667","0.7166666666666667","0.7166666666666667","0.7166666666666667"
"68","0.9666666666666667","0.9666666666666667","0.9666666666666667","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.8999999999999999","0.8999999999999999","0.8999999999999999"
"69","0.9916666666666666","0.9916666666666666","0.9916666666666666","0.8083333333333333","0.8083333333333333","0.8083333333333333","0.825","0.825","0.825"
"70","0.9666666666666667","0.9666666666666667","0.9666666666666667","1","1","1","1","1","1"
"71","0.9083333333333332","0.9083333333333332","0.9083333333333332","0.7333333333333334","0.7333333333333334","0.7333333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"72","0.9","0.9","0.9","0.8833333333333333","0.8833333333333333","0.8833333333333333","0.75","0.75","0.75"
"73","0.7545454545454545","0.7545454545454545","0.7545454545454545","0.7727272727272727","0.7727272727272727","0.7727272727272727","0.6000000000000001","0.6000000000000001","0.6000000000000001"
"74","0.9666666666666667","0.9666666666666667","0.9666666666666667","0.95","0.95","0.95","0.6416666666666666","0.6416666666666666","0.6416666666666666"
"75","0.8","0.8","0.8","0.9083333333333334","0.9083333333333334","0.9083333333333334","0.6333333333333333","0.6333333333333333","0.6333333333333333"
"76","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.8499999999999999","0.8499999999999999","0.8499999999999999"
"77","0.9833333333333333","0.9833333333333333","0.9833333333333333","0.8583333333333334","0.8583333333333334","0.8583333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"78","0.95","0.95","0.95","0.75","0.75","0.75","0.7583333333333333","0.7583333333333333","0.7583333333333333"
"79","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.7833333333333334","0.7833333333333334","0.7833333333333334","0.9583333333333334","0.9583333333333334","0.9583333333333334"
"80","0.8666666666666667","0.8666666666666667","0.8666666666666667","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.9083333333333333","0.9083333333333333","0.9083333333333333"
"81","0.8999999999999999","0.8999999999999999","0.8999999999999999","0.7999999999999999","0.7999999999999999","0.7999999999999999","0.7166666666666667","0.7166666666666667","0.7166666666666667"
"82","0.8","0.8","0.8","0.8916666666666667","0.8916666666666667","0.8916666666666667","0.95","0.95","0.95"
"83","1","1","1","0.7916666666666667","0.7916666666666667","0.7916666666666667","0.65","0.65","0.65"
"84","0.875","0.875","0.875","0.7833333333333334","0.7833333333333334","0.7833333333333334","0.7333333333333334","0.7333333333333334","0.7333333333333334"
"85","1","1","1","0.95","0.95","0.95","0.9833333333333334","0.9833333333333334","0.9833333333333334"
"86","0.8999999999999999","0.8999999999999999","0.8999999999999999","0.975","0.975","0.975","0.9666666666666667","0.9666666666666667","0.9666666666666667"
"87","0.9916666666666667","0.9916666666666667","0.9916666666666667","0.825","0.825","0.825","0.825","0.825","0.825"
"88","0.9583333333333333","0.9583333333333333","0.9583333333333333","0.95","0.95","0.95","0.9333333333333333","0.9333333333333333","0.9333333333333333"
"89","0.9916666666666667","0.9916666666666667","0.9916666666666667","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"90","0.9833333333333333","0.9833333333333333","0.9833333333333333","0.8833333333333334","0.8833333333333334","0.8833333333333334","0.5833333333333333","0.5833333333333333","0.5833333333333333"
"91","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.8999999999999999","0.8999999999999999","0.8999999999999999","0.9666666666666667","0.9666666666666667","0.9666666666666667"
"92","1","1","1","0.875","0.875","0.875","0.8583333333333334","0.8583333333333334","0.8583333333333334"
"93","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.8666666666666667","0.8666666666666667","0.8666666666666667","0.5249999999999999","0.5249999999999999","0.5249999999999999"
"94","0.9","0.9","0.9","0.9416666666666667","0.9416666666666667","0.9416666666666667","0.9666666666666667","0.9666666666666667","0.9666666666666667"
"95","0.9666666666666667","0.9666666666666667","0.9666666666666667","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.7166666666666667","0.7166666666666667","0.7166666666666667"
"96","1","1","1","1","1","1","0.8833333333333333","0.8833333333333333","0.8833333333333333"
"97","1","1","1","1","1","1","0.9333333333333333","0.9333333333333333","0.9333333333333333"
"98","0.95","0.95","0.95","0.9083333333333334","0.9083333333333334","0.9083333333333334","0.8500000000000001","0.8500000000000001","0.8500000000000001"
"99","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.9333333333333333","0.9333333333333333","0.9333333333333333","0.9833333333333334","0.9833333333333334","0.9833333333333334"
"100","0.9727272727272728","0.9727272727272728","0.9727272727272728","0.909090909090909","0.909090909090909","0.909090909090909","0.6454545454545455","0.6454545454545455","0.6454545454545455"
