"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)__MAX"
"88","0.8901488306165839","0.8901488306165839","0.8901488306165839","0.7955350815024805","0.7955350815024805","0.7955350815024805","0.5503189227498227","0.5503189227498227","0.5503189227498227"
"89","0.963855421686747","0.963855421686747","0.963855421686747","0.8766832034018427","0.8766832034018427","0.8766832034018427","0.5549255846917079","0.5549255846917079","0.5549255846917079"
"90","0.9875974486180015","0.9875974486180015","0.9875974486180015","0.8476257973068746","0.8476257973068746","0.8476257973068746","0.6236711552090716","0.6236711552090716","0.6236711552090716"
"91","0.9312544294826365","0.9312544294826365","0.9312544294826365","0.757264351523742","0.757264351523742","0.757264351523742","0.5786676116229624","0.5786676116229624","0.5786676116229624"
"92","0.9585400425230334","0.9585400425230334","0.9585400425230334","0.81218993621545","0.81218993621545","0.81218993621545","0.5839829907866761","0.5839829907866761","0.5839829907866761"
"93","0.8600283486888731","0.8600283486888731","0.8600283486888731","0.7643515237420269","0.7643515237420269","0.7643515237420269","0.6633593196314671","0.6633593196314671","0.6633593196314671"
"94","0.9727143869596031","0.9727143869596031","0.9727143869596031","0.7880935506732814","0.7880935506732814","0.7880935506732814","0.5843373493975903","0.5843373493975903","0.5843373493975903"
"95","0.9812189936215451","0.9812189936215451","0.9812189936215451","0.7728561304039689","0.7728561304039689","0.7728561304039689","0.5687455705173636","0.5687455705173636","0.5687455705173636"
"96","0.9252303330970942","0.9252303330970942","0.9252303330970942","0.7841956059532247","0.7841956059532247","0.7841956059532247","0.5382707299787385","0.5382707299787385","0.5382707299787385"
"97","0.9011339475549256","0.9011339475549256","0.9011339475549256","0.7657689581856839","0.7657689581856839","0.7657689581856839","0.6353649893692417","0.6353649893692417","0.6353649893692417"
"98","0.9819277108433735","0.9819277108433735","0.9819277108433735","0.8469170800850461","0.8469170800850461","0.8469170800850461","0.5453579021970234","0.5453579021970234","0.5453579021970234"
"99","0.9564138908575479","0.9564138908575479","0.9564138908575479","0.796243798724309","0.796243798724309","0.796243798724309","0.5574060949681078","0.5574060949681078","0.5574060949681078"
"100","0.8986534372785259","0.8986534372785259","0.8986534372785259","0.6729270021261516","0.6729270021261516","0.6729270021261516","0.46420978029766125","0.46420978029766125","0.46420978029766125"
